DATE,DCUR
2010-01-01,9.800
2010-02-01,9.700
2010-03-01,9.500
2010-04-01,9.400
2010-05-01,9.300
2010-06-01,9.3
2010-07-01,9.200
2010-08-01,9.200
2010-09-01,9.300
2010-10-01,9.300
2010-11-01,9.400
2010-12-01,9.500
2011-01-01,9.600
2011-02-01,9.800
2011-03-01,10.1
2011-04-01,10.3
2011-05-01,10.400
2011-06-01,10.500
2011-07-01,10.5
2011-08-01,10.400
2011-09-01,10.3
2011-10-01,10.100
2011-11-01,10.000
2011-12-01,9.900
2012-01-01,9.8
2012-02-01,9.600
2012-03-01,9.400
2012-04-01,9.3
2012-05-01,9.100
2012-06-01,8.900
2012-07-01,8.800
2012-08-01,8.8
2012-09-01,8.700
2012-10-01,8.700
2012-11-01,8.700
2012-12-01,8.700
2013-01-01,8.700
2013-02-01,8.700
2013-03-01,8.700
2013-04-01,8.6
2013-05-01,8.600
2013-06-01,8.600
2013-07-01,8.500
2013-08-01,8.500
2013-09-01,8.400
2013-10-01,8.300
2013-11-01,8.2
2013-12-01,8.1
2014-01-01,8.0
2014-02-01,8.0
2014-03-01,7.9
2014-04-01,7.9
2014-05-01,7.800
2014-06-01,7.800
2014-07-01,7.7
2014-08-01,7.7
2014-09-01,7.7
2014-10-01,7.6
2014-11-01,7.6
2014-12-01,7.5
2015-01-01,7.4
2015-02-01,7.3
2015-03-01,7.2
2015-04-01,7.1
2015-05-01,7.0
2015-06-01,6.9
2015-07-01,6.800
2015-08-01,6.7
2015-09-01,6.6
2015-10-01,6.6
2015-11-01,6.5
2015-12-01,6.5
2016-01-01,6.4
2016-02-01,6.3
2016-03-01,6.2
2016-04-01,6.1
2016-05-01,6.1
2016-06-01,6.1
2016-07-01,6.0
2016-08-01,6.0
2016-09-01,6.0
2016-10-01,6.0
2016-11-01,6.0
2016-12-01,6.0
2017-01-01,6.0
2017-02-01,6.1
2017-03-01,6.1
2017-04-01,6.2
2017-05-01,6.2
2017-06-01,6.2
2017-07-01,6.2
2017-08-01,6.1
2017-09-01,6.0
2017-10-01,5.9
2017-11-01,5.9
2017-12-01,5.8
2018-01-01,5.8
2018-02-01,5.8
2018-03-01,5.8
2018-04-01,5.7
2018-05-01,5.7
2018-06-01,5.6
2018-07-01,5.5
2018-08-01,5.4
2018-09-01,5.4
2018-10-01,5.3
2018-11-01,5.3
2018-12-01,5.4
2019-01-01,5.4
2019-02-01,5.5
2019-03-01,5.6
2019-04-01,5.6
2019-05-01,5.7
2019-06-01,5.6
2019-07-01,5.6
2019-08-01,5.5
2019-09-01,5.4
2019-10-01,5.4
2019-11-01,5.3
