DATE,WAAAGRIDX
2010-01-01,-0.69
2010-02-01,-0.10
2010-03-01,3.33
2010-04-01,4.35
2010-05-01,3.43
2010-06-01,2.57
2010-07-01,2.09
2010-08-01,1.97
2010-09-01,2.17
2010-10-01,2.39
2010-11-01,2.40
2010-12-01,2.73
2011-01-01,2.85
2011-02-01,2.78
2011-03-01,2.79
2011-04-01,2.78
2011-05-01,2.36
2011-06-01,2.73
2011-07-01,3.15
2011-08-01,2.62
2011-09-01,2.38
2011-10-01,2.58
2011-11-01,3.02
2011-12-01,3.23
2012-01-01,3.29
2012-02-01,3.16
2012-03-01,3.10
2012-04-01,2.69
2012-05-01,2.53
2012-06-01,2.59
2012-07-01,2.52
2012-08-01,2.86
2012-09-01,3.15
2012-10-01,3.14
2012-11-01,2.78
2012-12-01,2.56
2013-01-01,2.58
2013-02-01,2.53
2013-03-01,2.03
2013-04-01,1.50
2013-05-01,1.82
2013-06-01,2.03
2013-07-01,2.48
2013-08-01,2.51
2013-09-01,2.09
2013-10-01,1.92
2013-11-01,2.81
2013-12-01,2.53
2014-01-01,2.55
2014-02-01,2.54
2014-03-01,2.99
2014-04-01,3.37
2014-05-01,3.17
2014-06-01,2.88
2014-07-01,2.46
2014-08-01,2.70
2014-09-01,2.92
2014-10-01,2.92
2014-11-01,2.87
2014-12-01,3.07
2015-01-01,3.33
2015-02-01,3.31
2015-03-01,3.55
2015-04-01,4.33
2015-05-01,4.58
2015-06-01,4.72
2015-07-01,4.80
2015-08-01,4.56
2015-09-01,4.52
2015-10-01,4.80
2015-11-01,4.29
2015-12-01,3.89
2016-01-01,3.38
2016-02-01,3.21
2016-03-01,3.50
2016-04-01,3.37
2016-05-01,2.86
2016-06-01,2.62
2016-07-01,2.60
2016-08-01,2.95
2016-09-01,3.35
2016-10-01,3.58
2016-11-01,3.58
2016-12-01,3.40
2017-01-01,3.18
2017-02-01,3.31
2017-03-01,3.08
2017-04-01,2.75
2017-05-01,2.55
2017-06-01,2.39
2017-07-01,2.03
2017-08-01,2.16
2017-09-01,2.44
2017-10-01,2.54
2017-11-01,2.57
2017-12-01,2.85
2018-01-01,3.31
2018-02-01,3.24
2018-03-01,2.82
2018-04-01,2.55
2018-05-01,2.55
2018-06-01,2.54
2018-07-01,2.54
2018-08-01,2.40
2018-09-01,2.39
2018-10-01,2.27
2018-11-01,2.38
2018-12-01,2.41
2019-01-01,2.18
2019-02-01,2.20
2019-03-01,2.48
2019-04-01,2.64
2019-05-01,3.14
2019-06-01,3.74
2019-07-01,4.19
2019-08-01,4.04
2019-09-01,3.65
