DATE,WASH911BPPRIVSA
2010-01-01,1081.43882954484
2010-02-01,589.060517474293
2010-03-01,1792.5849557878698
2010-04-01,1174.7676986875501
2010-05-01,807.6224871903939
2010-06-01,1002.5837301557301
2010-07-01,1089.0327793271401
2010-08-01,1241.63812120616
2010-09-01,831.934883458916
2010-10-01,563.007063844027
2010-11-01,887.962012632724
2010-12-01,651.452295400184
2011-01-01,1640.5763252203
2011-02-01,1229.9238641329598
2011-03-01,1538.0737621139099
2011-04-01,976.734585885788
2011-05-01,1560.9418116453198
2011-06-01,1510.36508608463
2011-07-01,1800.6333318990698
2011-08-01,1516.70189448513
2011-09-01,1127.8828469424302
2011-10-01,973.095494993354
2011-11-01,2052.7857664592498
2011-12-01,1933.73795595702
2012-01-01,1358.75146769875
2012-02-01,1702.67077618246
2012-03-01,1246.70341680933
2012-04-01,1465.38724523719
2012-05-01,2228.29608655513
2012-06-01,1688.1474584540301
2012-07-01,1620.8943217495
2012-08-01,1975.93143234403
2012-09-01,1515.3690312643
2012-10-01,1482.15139083124
2012-11-01,3044.3475255764697
2012-12-01,2533.99837072197
2013-01-01,1358.96712055572
2013-02-01,1823.0456759854699
2013-03-01,1552.30499323297
2013-04-01,2240.07962160129
2013-05-01,2456.89717062072
2013-06-01,1700.80308682477
2013-07-01,1735.22049442418
2013-08-01,1173.3134806196902
2013-09-01,2440.55410994303
2013-10-01,2481.20215519107
2013-11-01,1557.0414487813598
2013-12-01,1733.9902250382502
2014-01-01,1958.5903185805603
2014-02-01,4055.9424748627002
2014-03-01,1556.91351557669
2014-04-01,1694.2492593518803
2014-05-01,1432.35221912865
2014-06-01,1810.84690145237
2014-07-01,2474.58870613262
2014-08-01,2094.37517532165
2014-09-01,2098.54725874792
2014-10-01,2214.03360577823
2014-11-01,1395.49789819763
2014-12-01,1459.9585708429902
2015-01-01,2239.88184008342
2015-02-01,1410.8881207441
2015-03-01,1836.9438783284302
2015-04-01,2772.87836762525
2015-05-01,1609.9924381853302
2015-06-01,2313.2611864404603
2015-07-01,1840.22105070629
2015-08-01,1853.07957192974
2015-09-01,1966.2390601608802
2015-10-01,2377.64644407326
2015-11-01,2402.7678499817603
2015-12-01,1432.26714022303
2016-01-01,2114.5668411722
2016-02-01,1488.40440459123
2016-03-01,2146.13380208026
2016-04-01,1840.7677376611102
2016-05-01,3140.2456484973604
2016-06-01,2167.9028497507397
2016-07-01,1375.90917903891
2016-08-01,2310.2876039776997
2016-09-01,2276.98028561548
2016-10-01,1407.4182177753798
2016-11-01,1402.1224962329998
2016-12-01,2092.4681641953603
2017-01-01,1774.42128176256
2017-02-01,1738.87872125903
2017-03-01,2123.39518651814
2017-04-01,1877.7828755593398
2017-05-01,2304.8918280265802
2017-06-01,2036.74000497707
2017-07-01,2056.19993173017
2017-08-01,2000.4343516902302
2017-09-01,2083.45374523196
2017-10-01,2651.63932116594
2017-11-01,2935.9101195438298
2017-12-01,1364.12898291324
2018-01-01,1709.9762099652698
2018-02-01,3128.4292982448496
2018-03-01,2311.82027195643
2018-04-01,1598.5061660034698
2018-05-01,1624.2426277261902
2018-06-01,2160.37562453059
2018-07-01,1804.38847839904
2018-08-01,1856.54631944572
2018-09-01,1979.3266465759698
2018-10-01,2083.28947117798
2018-11-01,2540.5276356129
2018-12-01,2417.0991264776103
2019-01-01,2671.85021588862
2019-02-01,3009.97662244091
2019-03-01,1770.30504865055
2019-04-01,2658.03359459781
2019-05-01,2280.9949033607
2019-06-01,1625.4173558682
2019-07-01,2606.3259389796103
2019-08-01,1714.72993920575
2019-09-01,1871.0436545575699
2019-10-01,1934.38657002195
2019-11-01,1727.77912559908
