DATE,WDXRSA
2010-01-01,179.97101200031503
2010-02-01,180.451676684066
2010-03-01,179.886192678118
2010-04-01,181.98294011538997
2010-05-01,182.98398484573997
2010-06-01,183.939947086236
2010-07-01,183.739964376463
2010-08-01,182.812230616968
2010-09-01,182.72641871556198
2010-10-01,183.03816534074198
2010-11-01,183.474828134892
2010-12-01,184.14803115699402
2011-01-01,184.31300304173698
2011-02-01,184.123846638303
2011-03-01,182.038169481348
2011-04-01,180.74096763293
2011-05-01,180.580284109766
2011-06-01,180.61601957751301
2011-07-01,181.668877895622
2011-08-01,181.80431920605
2011-09-01,182.93208433702202
2011-10-01,181.27357852781898
2011-11-01,181.146344336892
2011-12-01,179.79433006807702
2012-01-01,180.07674270545502
2012-02-01,178.56163978959202
2012-03-01,180.33719455383
2012-04-01,182.792719940913
2012-05-01,185.444978419315
2012-06-01,186.952847514085
2012-07-01,187.70789730337398
2012-08-01,188.33834340868302
2012-09-01,188.734244936917
2012-10-01,188.93353985071602
2012-11-01,189.28135982797002
2012-12-01,190.40130638680301
2013-01-01,190.891609517995
2013-02-01,190.64198447252102
2013-03-01,193.65467833541598
2013-04-01,195.46368385488302
2013-05-01,197.055897864745
2013-06-01,197.491591066983
2013-07-01,199.219269363835
2013-08-01,200.63589755973598
2013-09-01,202.50441822567902
2013-10-01,203.42075414153703
2013-11-01,204.39146078216302
2013-12-01,205.904630700851
2014-01-01,206.971311875593
2014-02-01,207.552212592282
2014-03-01,209.13758781333098
2014-04-01,208.26708481456902
2014-05-01,207.90540347543202
2014-06-01,207.551922808992
2014-07-01,206.954132600085
2014-08-01,206.89250214106002
2014-09-01,206.965128756768
2014-10-01,207.78914492656003
2014-11-01,208.003614570493
2014-12-01,208.54207775114799
2015-01-01,208.728777926521
2015-02-01,209.449097291614
2015-03-01,209.778962821916
2015-04-01,209.728871103775
2015-05-01,209.30705277902698
2015-06-01,209.731699545281
2015-07-01,209.80034909012699
2015-08-01,210.039685414021
2015-09-01,210.205569390841
2015-10-01,210.44346932451802
2015-11-01,211.318105091718
2015-12-01,211.360115497816
2016-01-01,212.151749496581
2016-02-01,211.52535105802897
2016-03-01,211.71855149693698
2016-04-01,212.467071117891
2016-05-01,213.02955878683997
2016-06-01,213.168899191329
2016-07-01,213.139779042589
2016-08-01,213.63190764429902
2016-09-01,214.375138011898
2016-10-01,215.10844032974603
2016-11-01,215.743632025631
2016-12-01,217.05885981207402
2017-01-01,218.33477054781798
2017-02-01,219.11711861401199
2017-03-01,219.047273394379
2017-04-01,218.67271173507302
2017-05-01,218.948169148929
2017-06-01,219.376126476459
2017-07-01,219.96332841168498
2017-08-01,220.3142178419
2017-09-01,220.822729972126
2017-10-01,221.623628464543
2017-11-01,222.729305942123
2017-12-01,223.029310707193
2018-01-01,223.29975218992803
2018-02-01,224.173970535437
2018-03-01,225.353777683159
2018-04-01,225.377596010446
2018-05-01,225.384862602045
2018-06-01,225.54802143589
2018-07-01,225.97133478540502
2018-08-01,226.507860767525
2018-09-01,227.142231118689
2018-10-01,227.789276588694
2018-11-01,228.516333194052
2018-12-01,228.986941332055
2019-01-01,229.96742138102903
2019-02-01,230.747816433442
2019-03-01,231.63608586176002
2019-04-01,231.45285218057398
2019-05-01,231.825806320042
2019-06-01,232.11252352672997
2019-07-01,232.032414768464
2019-08-01,232.650096696828
2019-09-01,233.380305444436
2019-10-01,234.644021912952
