date,Median Sale Price,In Time,OOT Time
2010-02-28,250000.0,250000.0,
2010-03-31,237000.0,253478.3496906961,
2010-04-30,260000.0,268695.73366426013,
2010-05-31,250000.0,267274.0586898842,
2010-06-30,240000.0,258724.96760638524,
2010-07-31,240000.0,255782.78389086018,
2010-08-31,248000.0,254989.81669566513,
2010-09-30,230000.0,252206.68158073933,
2010-10-31,230000.0,252138.6356261213,
2010-11-30,243000.0,263049.06466737436,
2010-12-31,225000.0,255246.40889201438,
2011-01-31,220000.0,247316.55056853968,
2011-02-28,213000.0,236897.7557226004,
2011-03-31,231000.0,241403.78505094483,
2011-04-30,240000.0,255533.7379651009,
2011-05-31,250000.0,256387.73610960305,
2011-06-30,243000.0,257112.85867710316,
2011-07-31,245000.0,257202.1176637115,
2011-08-31,241000.0,256468.92998157127,
2011-09-30,235000.0,252737.30958181247,
2011-10-31,230000.0,254862.7467615568,
2011-11-30,229000.0,250601.80290260015,
2011-12-31,225000.0,246079.31401790073,
2012-01-31,215000.0,233891.1151138109,
2012-02-29,236000.0,239397.1138609382,
2012-03-31,255000.0,248675.6434023095,
2012-04-30,252000.0,262818.57026130223,
2012-05-31,263000.0,266433.85845679167,
2012-06-30,275000.0,268915.8013064539,
2012-07-31,275000.0,270496.6586493924,
2012-08-31,270000.0,268625.17629088875,
2012-09-30,259000.0,261395.37139967998,
2012-10-31,265000.0,270352.5490017003,
2012-11-30,262000.0,270081.6979524984,
2012-12-31,260000.0,270375.9792339155,
2013-01-31,257000.0,267844.6909782257,
2013-02-28,261000.0,270373.75271883054,
2013-03-31,268000.0,278674.69788105093,
2013-04-30,284000.0,283634.2515728448,
2013-05-31,287000.0,289034.11405148177,
2013-06-30,299000.0,289614.0503473064,
2013-07-31,280000.0,286966.89670178393,
2013-08-31,289000.0,288757.7628930628,
2013-09-30,290000.0,288613.88089540397,
2013-10-31,289000.0,291788.265118913,
2013-11-30,280000.0,287977.2157059378,
2013-12-31,285000.0,285942.8946701696,
2014-01-31,270000.0,272144.29514014116,
2014-02-28,287000.0,281106.5709940231,
2014-03-31,288000.0,289003.3247313296,
2014-04-30,290000.0,285379.5909708608,
2014-05-31,297000.0,287261.3835881074,
2014-06-30,298000.0,286979.63910577964,
2014-07-31,285000.0,286119.0110876098,
2014-08-31,298000.0,281169.8096504652,
2014-09-30,280000.0,274312.902813996,
2014-10-31,300000.0,278223.8240505935,
2014-11-30,299000.0,279908.3403010056,
2014-12-31,290000.0,272292.7082716407,
2015-01-31,285000.0,263937.532080921,
2015-02-28,280000.0,266672.7980379462,
2015-03-31,290000.0,274556.48621034296,
2015-04-30,291000.0,281301.65099028,
2015-05-31,295000.0,287155.8987370117,
2015-06-30,310000.0,280462.3677626122,
2015-07-31,289000.0,278869.87263772066,
2015-08-31,294000.0,273160.19197966217,
2015-09-30,290000.0,270674.6433875019,
2015-10-31,298000.0,273855.2418143317,
2015-11-30,300000.0,280310.3698540182,
2015-12-31,282000.0,272097.65788907354,
2016-01-31,268000.0,259198.1041296163,
2016-02-29,262000.0,259361.20290295684,
2016-03-31,286000.0,276217.2965951628,
2016-04-30,297000.0,287402.1959384519,
2016-05-31,300000.0,287327.8007366731,
2016-06-30,295000.0,288885.42918070307,
2016-07-31,295000.0,284882.4633960098,
2016-08-31,289000.0,287570.63585450716,
2016-09-30,290000.0,285465.28179955855,
2016-10-31,290000.0,292816.9119268939,
2016-11-30,286000.0,291670.1116938948,
2016-12-31,285000.0,287104.61279481254,
2017-01-31,300000.0,282866.887526353,
2017-02-28,293000.0,285102.39803297323,
2017-03-31,285000.0,293336.74812416744,
2017-04-30,285000.0,299570.47762918065,
2017-05-31,303000.0,302717.44061773067,
2017-06-30,294000.0,300988.62470510195,
2017-07-31,315000.0,302785.91746320657,
2017-08-31,289000.0,300829.0908768824,
2017-09-30,281000.0,297175.856639161,
2017-10-31,302000.0,304570.33032652165,
2017-11-30,295000.0,303896.3694911035,
2017-12-31,300000.0,303257.87972772797,
2018-01-31,290000.0,291390.4875888576,
2018-02-28,301000.0,300268.07588251546,
2018-03-31,305000.0,309159.6352152513,
2018-04-30,310000.0,315041.4142684799,
2018-05-31,311000.0,310999.9999999997,
2018-06-30,310000.0,,315067.7205427887
2018-07-31,303000.0,,312104.52081877185
2018-08-31,291000.0,,310514.3833416637
2018-09-30,300000.0,,305893.7697072883
2018-10-31,299000.0,,304701.2818382476
2018-11-30,290000.0,,303969.4899541216
2018-12-31,307000.0,,306506.1226508808
2019-01-31,300000.0,,301084.94579856115
2019-02-28,300000.0,,313303.74587269174
2019-03-31,315000.0,,318353.45370712527
2019-04-30,316000.0,,321479.4540723685
2019-05-31,317000.0,,322647.3228774638
2019-06-30,325000.0,,327449.43494125945
2019-07-31,318000.0,,325677.5267484337
2019-08-31,300000.0,,326757.92092728795
2019-09-30,315000.0,,322248.881389596
2019-10-31,330000.0,,328736.87233558705
